Tanggal,Kegiatan,Pemateri,Paparan,File
16 November 2021,"FGD ""Hub & Spoke Untuk Menunjang Tol Laut""",Wihana Kirana Jaya,Pembahas - Wihana Kirana Jaya,https://balitbanghub.dephub.go.id/file/616
16 November 2021,"FGD ""Hub & Spoke Untuk Menunjang Tol Laut""",Rudy Sangian,INTEGRASI POLA HUB & SPOKE DALAM PENYELENGGARAAN TOL LAUT 2022 - Rudy Sangian,https://balitbanghub.dephub.go.id/file/614
16 November 2021,"FGD ""Hub & Spoke Untuk Menunjang Tol Laut""",R.O. Saut Gurning,Evaluasi Penerapan Hub and Spoke Dalam Penyelenggaraan Tol Laut-R.O. Saut Gurning,https://balitbanghub.dephub.go.id/file/617
16 November 2021,"FGD ""Hub & Spoke Untuk Menunjang Tol Laut""",PROF. NUR YUWONO,EVALUASI DAN OPTIMASI PENYELENGGARAAN TOL LAUT PADA MASA YANG AKAN DATANG - PROF. NUR YUWONO,https://balitbanghub.dephub.go.id/file/615
13 Agustus 2021,"FGD ""Meneropong Undang - Undang Transportasi dalam Menghadapi Tantangan Saat Ini""",SUGIYANTO,Urgensi Undang-Undang Sistem Transportasi Nasional,https://balitbanghub.dephub.go.id/file/605
13 Agustus 2021,"FGD ""Meneropong Undang - Undang Transportasi dalam Menghadapi Tantangan Saat Ini""",Badan Penelitian dan Pengembangan Perhubungan,Undang - Undang Transportasi Dalam Menghadapi Tantangan Saat Ini,https://balitbanghub.dephub.go.id/file/606
13 Agustus 2021,"FGD ""Meneropong Undang - Undang Transportasi dalam Menghadapi Tantangan Saat Ini""","Dr. Ir. GUNUNG HUTAPEA, M.M",Undang - Undang 17 Tahun 2008 Tentang Pelayaran Menghadapi Tantangan Saat Ini,https://balitbanghub.dephub.go.id/file/603
13 Agustus 2021,"FGD ""Meneropong Undang - Undang Transportasi dalam Menghadapi Tantangan Saat Ini""","Capt. Novyanto Widadi, S.AP., M.M. Kepala Pusat Penelitian dan Pengembangan Transportasi Udara",Regulasi Dalam Sudut Pandang Sektor Transportasi Udara,https://balitbanghub.dephub.go.id/file/607
13 Agustus 2021,"FGD ""Meneropong Undang - Undang Transportasi dalam Menghadapi Tantangan Saat Ini""",Puslitbang Transportasi Jalan & Perkeretaapian,Meneropong Undang - Undang Transportasi Dalam Menghadapi Tantangan Saat ini,https://balitbanghub.dephub.go.id/file/604
29 Juli 2021,"Webinar ""Green Logistic Partnership Conference""","Ministry of the Environment, Japan",JCM (Joint Crediting Mechanism) Introduction of Decarbonizing Technologies,https://balitbanghub.dephub.go.id/file/599
29 Juli 2021,"Webinar ""Green Logistic Partnership Conference""","Policy Bureau, Ministry of Land, Infrastructure, Transport and Tourism",Green Logistics Policies for Sustainable Development in Japan,https://balitbanghub.dephub.go.id/file/600
29 Juli 2021,"Webinar ""Green Logistic Partnership Conference""","YUKKI NUGRAHAWAN HANAFI, Ketua Umum DPP ALFI / ILFA KUNCORO HARTO WIDODO, Kepala Kompartemen Penelitian & Pengembangan DPP ALFI/IL FA",Green Logistics Implementation In Indonesia “ Opportunities and Challenges “,https://balitbanghub.dephub.go.id/file/602
29 Juli 2021,"Webinar ""Green Logistic Partnership Conference""","MINISTRY OF TRANSPORTATION, INDONESIA",GREEN LOGISTIC POLICY IN INDONESIA: The Development and its current condition,https://balitbanghub.dephub.go.id/file/601
25 Mei 2021,Webinar “Sistem Transportasi Cerdas Di Ibu Kota Negara: Pembangunan dan Kebutuhan Penerapannya”,"Prof. Dr. Ir. Agus Taufik Mulyono, MT., IPU., ASEAN Eng",Sistem Transportasi Cerdas Di Ibu Kota Negara (IKN),https://balitbanghub.dephub.go.id/file/530
25 Mei 2021,Webinar “Sistem Transportasi Cerdas Di Ibu Kota Negara: Pembangunan dan Kebutuhan Penerapannya”,Deputi Bidang Pengembangan Regional,Rencana Pemindahan Ibu Kota Negara,https://balitbanghub.dephub.go.id/file/529
25 Mei 2021,Webinar “Sistem Transportasi Cerdas Di Ibu Kota Negara: Pembangunan dan Kebutuhan Penerapannya”,Direktur Jenderal Perhubungan Laut,Rencana Pembangunan Sistem Transportasi Di Sektor Transportasi Laut,https://balitbanghub.dephub.go.id/file/527
25 Mei 2021,Webinar “Sistem Transportasi Cerdas Di Ibu Kota Negara: Pembangunan dan Kebutuhan Penerapannya”,Direktur Jenderal Perhubungan Darat,Rencana Pembangunan Sistem Transportasi Di Sektor Transportasi Darat,https://balitbanghub.dephub.go.id/file/528
25 Mei 2021,Webinar “Sistem Transportasi Cerdas Di Ibu Kota Negara: Pembangunan dan Kebutuhan Penerapannya”,Direktur Jenderal Perhubungan Udara,Rencana Pembangunan Sistem Tranportasi Di Sektor Transportasi Udara,https://balitbanghub.dephub.go.id/file/525
25 Mei 2021,Webinar “Sistem Transportasi Cerdas Di Ibu Kota Negara: Pembangunan dan Kebutuhan Penerapannya”,Direktur Jenderal Perkeretaapian,Rencana Pembangunan Sistem Transportasi Kereta Api Dalam Rangka Mendukung Ibukota Negara Baru,https://balitbanghub.dephub.go.id/file/524
25 Mei 2021,Webinar “Sistem Transportasi Cerdas Di Ibu Kota Negara: Pembangunan dan Kebutuhan Penerapannya”,"Director Pembangunan Jaya Center for Urban Studies, Universitas Pembangunan Jaya",Mobilitas Cerdas Untuk Ibu Kota Baru,https://balitbanghub.dephub.go.id/file/526
25 Mei 2021,Webinar “Sistem Transportasi Cerdas Di Ibu Kota Negara: Pembangunan dan Kebutuhan Penerapannya”,Tim Rancang Kota IKN – PUPR (Kolaborasi Pemenang Sayembara),Kawasan Inti Pusat Pemerintahan Ibukota Negara Rancang Kota Transportasi + Infrastruktur,https://balitbanghub.dephub.go.id/file/532
25 Mei 2021,Webinar “Sistem Transportasi Cerdas Di Ibu Kota Negara: Pembangunan dan Kebutuhan Penerapannya”,"Dr. Ir. Ismail, M.T.",Dukungan Tata Kelola Spektrum Frekuensi Radio Untuk Sistem Transportasi Cerdas di Ibu Kota Negara Baru,https://balitbanghub.dephub.go.id/file/531
27 April 2021,"Focus Group Discussion ""Identifikasi Penyelenggaraan Autonomus Rail Rapid Transit (ART) di Indonesia""",Kerjasama Penelitian Badan Litbang Kementerian Perhubungan Institut Teknologi Bandung Universitas Gadjah Mada,Kajian Regulasi Penyelenggaraan Autonomous Rail Rapid Transit/Tram Otonom di Indonesia,https://balitbanghub.dephub.go.id/file/519
27 April 2021,"Focus Group Discussion ""Identifikasi Penyelenggaraan Autonomus Rail Rapid Transit (ART) di Indonesia""",Institut Teknologi Bandung,Kajian Penyelenggaraan Pilot Project Tram Otonom (TO)/ART di Denpasar Bali,https://balitbanghub.dephub.go.id/file/518
27 April 2021,"Focus Group Discussion ""Identifikasi Penyelenggaraan Autonomus Rail Rapid Transit (ART) di Indonesia""",Kerja Sama Institut Teknologi Sepuluh Nopember dengan Kementerian Perhubungan,Kajian Penyelenggaraan Autonomus Rail Rapid Transit (ART) di Indonesia Di Kota Surabaya,https://balitbanghub.dephub.go.id/file/516
27 April 2021,"Focus Group Discussion ""Identifikasi Penyelenggaraan Autonomus Rail Rapid Transit (ART) di Indonesia""","Ir. Ikaputra, M. Eng, Ph. D",Kajian Penyelenggaraan Autonomous Rail Rapid Transit (ART) di Kota Yogyakarta,https://balitbanghub.dephub.go.id/file/517
12 April 2021,"Topic: Focus Group Discussion (FGD) ""Kesiapan Implementasi Grand Strategy Sistem Transportasi Cerdas Indonesia""",Direktorat Jenderal Perhubunga Darat,Peran Pemerintah Dalam Implementasi Grand Strategi Sistem Transportasi Cerdas,https://balitbanghub.dephub.go.id/file/515
12 April 2021,"Focus Group Discussion (FGD) ""Kesiapan Implementasi Grand Strategy Sistem Transportasi Cerdas Indonesia""","Dr. Ir. Resdiansyah ST., MT., IPM - ITS",Implementasi dan Tantangan dalam Penerapan Sistem Transportasi Cerdas di Indonesia,https://balitbanghub.dephub.go.id/file/514
12 April 2021,"Focus Group Discussion (FGD) ""Kesiapan Implementasi Grand Strategy Sistem Transportasi Cerdas Indonesia""",Badan Penelitian dan Pengembangan Perhubungan,Draft Laporan Akhir Kegiatan Penelitian Bersama Pengembangan Sistem Transportasi Cerdas di Indonesia,https://balitbanghub.dephub.go.id/file/513
01 Oktober 2020,Webinar Series #8 “Strategi Pemulihan Angkutan Logistik Pada Masa Pandemi Covid-19”,Dr. Hammam Riza,Transportasi Cerdas untuk Mendukung Aksesibilitas & Mobilitas Logistic Kemanusiaan Pada Masa & Pasca Pandemi Covid-19,https://balitbanghub.dephub.go.id/file/385
01 Oktober 2020,Webinar Series #8 “Strategi Pemulihan Angkutan Logistik Pada Masa Pandemi Covid-19”,"Dr. Ir. Umiyatun Hayati Triastuti, M.sc",Strategi Pemulihan Angkutan Logistik Pada Masa Pandemi Covid-19,https://balitbanghub.dephub.go.id/file/387
01 Oktober 2020,Webinar Series #8 “Strategi Pemulihan Angkutan Logistik Pada Masa Pandemi Covid-19”,Ir. Budi Noviantoro,Sarana Kereta Api Pendukung Angkutan Logistik Komoditas Humanitarian,https://balitbanghub.dephub.go.id/file/381
01 Oktober 2020,Webinar Series #8 “Strategi Pemulihan Angkutan Logistik Pada Masa Pandemi Covid-19”,"Dr. Kuncoro Harto Widodo, M.Eng",Peran Transportasi Kereta Api untuk Mempercepat Distribusi Logistik Kemanusiaan Selama Masa Pandemi Covid-19”,https://balitbanghub.dephub.go.id/file/382
01 Oktober 2020,Webinar Series #8 “Strategi Pemulihan Angkutan Logistik Pada Masa Pandemi Covid-19”,"Prof. Dr. Ir. Agus Taufik Mulyono, M.T., IPU, ASEAN Eng.",Paradigma Baru Penyelenggaraan Perkeretaapian Selama dan Pasca Pandemi Covid-19,https://balitbanghub.dephub.go.id/file/383
01 Oktober 2020,Webinar Series #8 “Strategi Pemulihan Angkutan Logistik Pada Masa Pandemi Covid-19”,"Dr. Ir. Arif Wismadi, M.Sc.",Model Dan Strategi Recovery Industri Jasa Logistik Pasca Pandemi Covid-19,https://balitbanghub.dephub.go.id/file/386
29 September 2020,Webinar Series #7 “Kajian Stimulus Ekonomi untuk Pemulihan Transport Laut SDP”,Dr. Ardi Adji,Kebijakan Stimulus Ekonomi Menuju Era Kenormalan Baru Pada Transportasi Laut SDP,https://balitbanghub.dephub.go.id/file/377
29 September 2020,Webinar Series #7 “Kajian Stimulus Ekonomi untuk Pemulihan Transport Laut SDP”,"Dr. Agnes Tri Rumiati, M.Sc.","Analisis dan Evaluasi Dampak Pandemi Covid -19 pada Subsektor Transportasi Laut, Sungai, Danau dan Penyeberangan",https://balitbanghub.dephub.go.id/file/378
24 September 2020,Webinar Series #6 “Ketahanan Angkutan Logistik Pada Masa Pandemi Covid-19”,Wisnu Rahardjo,Perkembangan Kargo Udara Di Bandara PT. Angkasa Pura II,https://balitbanghub.dephub.go.id/file/364
24 September 2020,Webinar Series #6 “Ketahanan Angkutan Logistik Pada Masa Pandemi Covid-19”,"Ir. Umiyatun Hayati Triastuti, M.sc",Pembukaan Acara Kepala Badan Penelitian dan Pengembangan Perhubungan,https://balitbanghub.dephub.go.id/file/359
24 September 2020,Webinar Series #6 “Ketahanan Angkutan Logistik Pada Masa Pandemi Covid-19”,"Herawati, S.T., M.Sc., M.Eng. (Peneliti Madya Badan Litbang Perhubungan)","Pembahas ""Ketahanan Angkutan Logistik Pada Masa Pandemi Covid-19”",https://balitbanghub.dephub.go.id/file/365
24 September 2020,Webinar Series #6 “Ketahanan Angkutan Logistik Pada Masa Pandemi Covid-19”,Yukki Nugrahawan Hanafi,Peluang dan Tantangan Perusahaan Jasa Angkutan Logistik Pada Masa Pandemi Covid-19,https://balitbanghub.dephub.go.id/file/362
24 September 2020,Webinar Series #6 “Ketahanan Angkutan Logistik Pada Masa Pandemi Covid-19”,"Titah Yudhistira, ST, MT, Ph.D",Kajian Efektivitas Kebijakan Pengendalian PSBB Di Sektor Transportasi Terhadap Distribusi Angkutan Barang/Logistik,https://balitbanghub.dephub.go.id/file/361
23 September 2020,Webinar Series #5 “Resiliensi Kinerja dan Strategi Pemulihan Bisnis Sektor Transportasi Udara Pada Saat dan Pasca Pandemi COVID-19”,-,Resiliensi Transportasi Udara Disaat Pandemic Covid-19 Pemulihan Ekonomi Nasional Sektor Transportasi Udara,https://balitbanghub.dephub.go.id/file/376
23 September 2020,Webinar Series #5 “Resiliensi Kinerja dan Strategi Pemulihan Bisnis Sektor Transportasi Udara Pada Saat dan Pasca Pandemi COVID-19”,Imanuddin Yunus,Resiliensi Kinerja dan Strategi Pemuihan Bisni Sektor Transportasi Udara Selama hingga Pasca Pandemi COVID19,https://balitbanghub.dephub.go.id/file/374
23 September 2020,Webinar Series #5 “Resiliensi Kinerja dan Strategi Pemulihan Bisnis Sektor Transportasi Udara Pada Saat dan Pasca Pandemi COVID-19”,"Ir. Umiyatun Hayati Triastuti, M.Sc",Pembukaan Acara Kepala Badan Penelitian dan Pengembangan Perhubungan,https://balitbanghub.dephub.go.id/file/357
23 September 2020,Webinar Series #5 “Resiliensi Kinerja dan Strategi Pemulihan Bisnis Sektor Transportasi Udara Pada Saat dan Pasca Pandemi COVID-19”,Dr. Heri Fathurahman,Model Strategi Pemulihan Bisnis Transportasi Udara,https://balitbanghub.dephub.go.id/file/356
23 September 2020,Webinar Series #5 “Resiliensi Kinerja dan Strategi Pemulihan Bisnis Sektor Transportasi Udara Pada Saat dan Pasca Pandemi COVID-19”,Marsekal TNI (Purn) Chappy Hakim,Keynote Speech,https://balitbanghub.dephub.go.id/file/358
23 September 2020,Webinar Series #5 “Resiliensi Kinerja dan Strategi Pemulihan Bisnis Sektor Transportasi Udara Pada Saat dan Pasca Pandemi COVID-19”,Dr. Ricardi S. Adnan,Dampak COVID19 terhadap Resiliensi Kinerja Sektor Transportasi Udara dan Sektor Lainnya,https://balitbanghub.dephub.go.id/file/355
23 September 2020,Webinar Series #5 “Resiliensi Kinerja dan Strategi Pemulihan Bisnis Sektor Transportasi Udara Pada Saat dan Pasca Pandemi COVID-19”,Dina,Bagaimana Dampak Covid Bagi Penerbangan?,https://balitbanghub.dephub.go.id/file/375
21 September 2020,Webinar Series #4 (Rangkaian Kegiatan Harhubnas 2020) “Strategi Pemulihan Bisnis Angkutan Jalan Dan Perkeretaapian”,"Hengki Purwoto, SE., MA",Strategi Pemulihan Bisnis Angkutan Perkeretaapian Pasca Pandemi Covid-19,https://balitbanghub.dephub.go.id/file/352
21 September 2020,Webinar Series #4 (Rangkaian Kegiatan Harhubnas 2020) “Strategi Pemulihan Bisnis Angkutan Jalan Dan Perkeretaapian”,Dr. Ir. Ibnu Syabri,Strategi Pemulihan Bisnis Angkutan Jalan Pasca Pandemi Covid-19,https://balitbanghub.dephub.go.id/file/353
21 September 2020,Webinar Series #4 (Rangkaian Kegiatan Harhubnas 2020) “Strategi Pemulihan Bisnis Angkutan Jalan Dan Perkeretaapian”,Silvia Halim,Strategi Pemulihan Bisnis Angkutan Jalan dan Perkeretaapian,https://balitbanghub.dephub.go.id/file/380
21 September 2020,Webinar Series #4 (Rangkaian Kegiatan Harhubnas 2020) “Strategi Pemulihan Bisnis Angkutan Jalan Dan Perkeretaapian”,"Ir. Umiyatun Hayati Triastuti, M.Sc",Dampak Covid-19 Terhadap Transportasi Jalan Dan Perkeretaapian,https://balitbanghub.dephub.go.id/file/351
21 September 2020,Webinar Series #4 (Rangkaian Kegiatan Harhubnas 2020) “Strategi Pemulihan Bisnis Angkutan Jalan Dan Perkeretaapian”,Prof. Agus Taufik Mulyono:,Antisipasi Terhadap Paradigma Baru di Bidang Perkeretaapian Selama dan Pasca Pandemi Covid-19,https://balitbanghub.dephub.go.id/file/354
18 September 2020,Webinar Series #3 (Rangkaian Kegiatan Harhubnas 2020) Kebijakan Pengendalian Dan Ketahanan Bisnis Angkutan Jalan Dan Perkeretaapian Saat Pandemi,"Ir. Umiyatun Hayati Triastuti, M.Sc",Transportasi Maju Indonesia Maju,https://balitbanghub.dephub.go.id/file/342
18 September 2020,Webinar Series #3 (Rangkaian Kegiatan Harhubnas 2020) Kebijakan Pengendalian Dan Ketahanan Bisnis Angkutan Jalan Dan Perkeretaapian Saat Pandemi,Dr. Bambang Susantono,Towards a more sustainable new normal for the transport sector,https://balitbanghub.dephub.go.id/file/379
18 September 2020,Webinar Series #3 (Rangkaian Kegiatan Harhubnas 2020) Kebijakan Pengendalian Dan Ketahanan Bisnis Angkutan Jalan Dan Perkeretaapian Saat Pandemi,"Drs. Budi Setiyadi SH., MS.i",Kondisi Transportasi Darat Di Awal Masa Pandemi Dan Pada Masa Kebiasaan Baru,https://balitbanghub.dephub.go.id/file/343
18 September 2020,Webinar Series #3 (Rangkaian Kegiatan Harhubnas 2020) Kebijakan Pengendalian Dan Ketahanan Bisnis Angkutan Jalan Dan Perkeretaapian Saat Pandemi,"Dr. Ir. Arif Wismadi, MSc.",Kolaborasi Merespon Dampak Pandemi Covid-19 dan Strategi Recovery pada Kehidupan Normal Baru di Sektor Transportasi,https://balitbanghub.dephub.go.id/file/346
18 September 2020,Webinar Series #3 (Rangkaian Kegiatan Harhubnas 2020) Kebijakan Pengendalian Dan Ketahanan Bisnis Angkutan Jalan Dan Perkeretaapian Saat Pandemi,Dr. Agung Wicaksono,Kebijakan Pengendalian Dan Ketahanan Bisnis Angkutan Jalan Dan Perkeretaapian Saat Pandemi,https://balitbanghub.dephub.go.id/file/348
18 September 2020,Webinar Series #3 (Rangkaian Kegiatan Harhubnas 2020) Kebijakan Pengendalian Dan Ketahanan Bisnis Angkutan Jalan Dan Perkeretaapian Saat Pandemi,"Dr. Miming Miharja, ST., MSc.Eng.",Kajian Efektivitas Penerapan Kebijakan Pengendalian Transportasi Jalan Dalam Rangka Pencegahan Penyebaran COVID-19,https://balitbanghub.dephub.go.id/file/345
18 September 2020,Webinar Series #3 (Rangkaian Kegiatan Harhubnas 2020) Kebijakan Pengendalian Dan Ketahanan Bisnis Angkutan Jalan Dan Perkeretaapian Saat Pandemi,"Hengki Purwoto, SE., MA",Kajian Dampak Pandemi Covid 19 Terhadap Ketahanan Bisnis Angkutan Perkeretaapian,https://balitbanghub.dephub.go.id/file/347
18 September 2020,Webinar Series #3 (Rangkaian Kegiatan Harhubnas 2020) Kebijakan Pengendalian Dan Ketahanan Bisnis Angkutan Jalan Dan Perkeretaapian Saat Pandemi,"Prof. Dr. Ir. Agus Taufik Mulyono (Atm), St., Mt., Ipu., Asean Eng",Humanitarian Railway System Development,https://balitbanghub.dephub.go.id/file/344
18 September 2020,Webinar Series #3 (Rangkaian Kegiatan Harhubnas 2020) Kebijakan Pengendalian Dan Ketahanan Bisnis Angkutan Jalan Dan Perkeretaapian Saat Pandemi,SN. Milatia Moemin,Damri In New Normal (Live With Covid),https://balitbanghub.dephub.go.id/file/349
18 September 2020,Webinar Series #3 (Rangkaian Kegiatan Harhubnas 2020) Kebijakan Pengendalian Dan Ketahanan Bisnis Angkutan Jalan Dan Perkeretaapian Saat Pandemi,Maqin U Norhadi,Dampak Pandemi Covid 19 Terhadap Ketahanan Bisnis Angkutan Kereta Api,https://balitbanghub.dephub.go.id/file/350
16 September 2020,"Webinar Series #2 ""Standar Kesehatan Sarana dan Prasarana Penerbangan dan Perubahana Perilaku Pengguna Jasa Transportasi Udara""",Bagus Takwin,Perubahan Perilaku Pengguna Jasa Transportasi Udara,https://balitbanghub.dephub.go.id/file/366
16 September 2020,"Webinar Series #2 ""Standar Kesehatan Sarana dan Prasarana Penerbangan dan Perubahana Perilaku Pengguna Jasa Transportasi Udara""","Prof. Budi Sampurna, DFM, S.H., Sp. F (K), Sp.K.P.",Kajian Standar kesehatan Sarana dan Prasarana Transportasi Udara,https://balitbanghub.dephub.go.id/file/367
16 September 2020,"Webinar Series #2 ""Standar Kesehatan Sarana dan Prasarana Penerbangan dan Perubahana Perilaku Pengguna Jasa Transportasi Udara""",-,Efektivitas Peraturan Sektor Penerbangan Pada Masa Pandemi Covid-19,https://balitbanghub.dephub.go.id/file/368
15 September 2020,"Kick Off Webinar Series #1 ""Transportasi Sehat, Indonesia Maju""",Prof. Dr Budi Sampurna,Rekomendasi Tim Kajian Standar Kesehatan Sarana Dan Prasarana Transportasi Udara,https://balitbanghub.dephub.go.id/file/371
15 September 2020,"Kick Off Webinar Series #1 ""Transportasi Sehat, Indonesia Maju""",-,Policy Brief Kajian Transportasi Resiliensi Pelayanan Transportasi Akibat Pandemi Covid 19,https://balitbanghub.dephub.go.id/file/373
15 September 2020,"Kick Off Webinar Series #1 ""Transportasi Sehat, Indonesia Maju""","Prof. Dr. Ir. Agus Taufik Mulyono, MT.,",Pergerakan Orang Dan Penyebaran Virus Pada Penyelenggaraan Transportasi Perkeretaapian Selama Pandemi Covid-19,https://balitbanghub.dephub.go.id/file/372
15 September 2020,"Kick Off Webinar Series #1 ""Transportasi Sehat, Indonesia Maju""",Prof. Ade Sjafruddin,Kajian Pemodelan Pergerakan Orang di Bidang Transportasi Jalan Selama Covid-19,https://balitbanghub.dephub.go.id/file/370
15 September 2020,"Kick Off Webinar Series #1 ""Transportasi Sehat, Indonesia Maju""","Dr. Ir. Subiakto, MBA",Dampak Efektivitas PSBB Transportasi Dalam Mencegah Meluasnya Penyebaran COVID-19 dan Analisis Ketahanan Bisnis Angkutan Barang/Industri Jasa Logistik,https://balitbanghub.dephub.go.id/file/369
