No.overall,No. inseason,Season,Title,Directed by,Written by,Original air date ,U.S. viewers(millions)
1,1,1,Winter Is Coming,Tim Van Patten,David Benioff & D. B. Weiss,"April 17, 2011 (2011-04-17)",2.22
2,2,1,The Kingsroad,Tim Van Patten,David Benioff & D. B. Weiss,"April 24, 2011 (2011-04-24)",2.20
3,3,1,Lord Snow,Brian Kirk,David Benioff & D. B. Weiss,"May 1, 2011 (2011-05-01)",2.44
4,4,1,"Cripples, Bastards, and Broken Things",Brian Kirk,Bryan Cogman,"May 8, 2011 (2011-05-08)",2.45
5,5,1,The Wolf and the Lion,Brian Kirk,David Benioff & D. B. Weiss,"May 15, 2011 (2011-05-15)",2.58
6,6,1,A Golden Crown,Daniel Minahan,Story by : David Benioff & D. B. Weiss; Teleplay by : Jane Espenson and David Benioff & D. B. Weiss,"May 22, 2011 (2011-05-22)",2.44
7,7,1,You Win or You Die,Daniel Minahan,David Benioff & D. B. Weiss,"May 29, 2011 (2011-05-29)",2.40
8,8,1,The Pointy End,Daniel Minahan,George R. R. Martin,"June 5, 2011 (2011-06-05)",2.72
9,9,1,Baelor,Alan Taylor,David Benioff & D. B. Weiss,"June 12, 2011 (2011-06-12)",2.66
10,10,1,Fire and Blood,Alan Taylor,David Benioff & D. B. Weiss,"June 19, 2011 (2011-06-19)",3.04
11,1,2,The North Remembers,Alan Taylor,David Benioff & D. B. Weiss,"April 1, 2012 (2012-04-01)",3.86
12,2,2,The Night Lands,Alan Taylor,David Benioff & D. B. Weiss,"April 8, 2012 (2012-04-08)",3.76
13,3,2,What Is Dead May Never Die,Alik Sakharov,Bryan Cogman,"April 15, 2012 (2012-04-15)",3.77
14,4,2,Garden of Bones,David Petrarca,Vanessa Taylor,"April 22, 2012 (2012-04-22)",3.65
15,5,2,The Ghost of Harrenhal,David Petrarca,David Benioff & D. B. Weiss,"April 29, 2012 (2012-04-29)",3.90
16,6,2,The Old Gods and the New,David Nutter,Vanessa Taylor,"May 6, 2012 (2012-05-06)",3.88
17,7,2,A Man Without Honor,David Nutter,David Benioff & D. B. Weiss,"May 13, 2012 (2012-05-13)",3.69
18,8,2,The Prince of Winterfell,Alan Taylor,David Benioff & D. B. Weiss,"May 20, 2012 (2012-05-20)",3.86
19,9,2,Blackwater,Neil Marshall,George R. R. Martin,"May 27, 2012 (2012-05-27)",3.38
20,10,2,Valar Morghulis,Alan Taylor,David Benioff & D. B. Weiss,"June 3, 2012 (2012-06-03)",4.20
21,1,3,Valar Dohaeris,Daniel Minahan,David Benioff & D. B. Weiss,"March 31, 2013 (2013-03-31)",4.37
22,2,3,"Dark Wings, Dark Words",Daniel Minahan,Vanessa Taylor,"April 7, 2013 (2013-04-07)",4.27
23,3,3,Walk of Punishment,David Benioff,David Benioff & D. B. Weiss,"April 14, 2013 (2013-04-14)",4.72
24,4,3,And Now His Watch Is Ended,Alex Graves,David Benioff & D. B. Weiss,"April 21, 2013 (2013-04-21)",4.87
25,5,3,Kissed by Fire,Alex Graves,Bryan Cogman,"April 28, 2013 (2013-04-28)",5.35
26,6,3,The Climb,Alik Sakharov,David Benioff & D. B. Weiss,"May 5, 2013 (2013-05-05)",5.50
27,7,3,The Bear and the Maiden Fair,Michelle MacLaren,George R. R. Martin,"May 12, 2013 (2013-05-12)",4.84
28,8,3,Second Sons,Michelle MacLaren,David Benioff & D. B. Weiss,"May 19, 2013 (2013-05-19)",5.13
29,9,3,The Rains of Castamere,David Nutter,David Benioff & D. B. Weiss,"June 2, 2013 (2013-06-02)",5.22
30,10,3,Mhysa,David Nutter,David Benioff & D. B. Weiss,"June 9, 2013 (2013-06-09)",5.39
31,1,4,Two Swords,D. B. Weiss,David Benioff & D. B. Weiss,"April 6, 2014 (2014-04-06)",6.64
32,2,4,The Lion and the Rose,Alex Graves,George R. R. Martin,"April 13, 2014 (2014-04-13)",6.31
33,3,4,Breaker of Chains,Alex Graves,David Benioff & D. B. Weiss,"April 20, 2014 (2014-04-20)",6.59
34,4,4,Oathkeeper,Michelle MacLaren,Bryan Cogman,"April 27, 2014 (2014-04-27)",6.95
35,5,4,First of His Name,Michelle MacLaren,David Benioff & D. B. Weiss,"May 4, 2014 (2014-05-04)",7.16
36,6,4,The Laws of Gods and Men,Alik Sakharov,Bryan Cogman,"May 11, 2014 (2014-05-11)",6.40
37,7,4,Mockingbird,Alik Sakharov,David Benioff & D. B. Weiss,"May 18, 2014 (2014-05-18)",7.20
38,8,4,The Mountain and the Viper,Alex Graves,David Benioff & D. B. Weiss,"June 1, 2014 (2014-06-01)",7.17
39,9,4,The Watchers on the Wall,Neil Marshall,David Benioff & D. B. Weiss,"June 8, 2014 (2014-06-08)",6.95
40,10,4,The Children,Alex Graves,David Benioff & D. B. Weiss,"June 15, 2014 (2014-06-15)",7.09
41,1,5,The Wars to Come,Michael Slovis,David Benioff & D. B. Weiss,"April 12, 2015 (2015-04-12)",8.00
42,2,5,The House of Black and White,Michael Slovis,David Benioff & D. B. Weiss,"April 19, 2015 (2015-04-19)",6.81
43,3,5,High Sparrow,Mark Mylod,David Benioff & D. B. Weiss,"April 26, 2015 (2015-04-26)",6.71
44,4,5,Sons of the Harpy,Mark Mylod,Dave Hill,"May 3, 2015 (2015-05-03)",6.82
45,5,5,Kill the Boy,Jeremy Podeswa,Bryan Cogman,"May 10, 2015 (2015-05-10)",6.56
46,6,5,"Unbowed, Unbent, Unbroken",Jeremy Podeswa,Bryan Cogman,"May 17, 2015 (2015-05-17)",6.24
47,7,5,The Gift,Miguel Sapochnik,David Benioff & D. B. Weiss,"May 24, 2015 (2015-05-24)",5.40
48,8,5,Hardhome,Miguel Sapochnik,David Benioff & D. B. Weiss,"May 31, 2015 (2015-05-31)",7.01
49,9,5,The Dance of Dragons,David Nutter,David Benioff & D. B. Weiss,"June 7, 2015 (2015-06-07)",7.14
50,10,5,Mother's Mercy,David Nutter,David Benioff & D. B. Weiss,"June 14, 2015 (2015-06-14)",8.11
51,1,6,The Red Woman,Jeremy Podeswa,David Benioff & D. B. Weiss,"April 24, 2016 (2016-04-24)",7.94
52,2,6,Home,Jeremy Podeswa,Dave Hill,"May 1, 2016 (2016-05-01)",7.29
53,3,6,Oathbreaker,Daniel Sackheim,David Benioff & D. B. Weiss,"May 8, 2016 (2016-05-08)",7.28
54,4,6,Book of the Stranger,Daniel Sackheim,David Benioff & D. B. Weiss,"May 15, 2016 (2016-05-15)",7.82
55,5,6,The Door,Jack Bender,David Benioff & D. B. Weiss,"May 22, 2016 (2016-05-22)",7.89
56,6,6,Blood of My Blood,Jack Bender,Bryan Cogman,"May 29, 2016 (2016-05-29)",6.71
57,7,6,The Broken Man,Mark Mylod,Bryan Cogman,"June 5, 2016 (2016-06-05)",7.80
58,8,6,No One,Mark Mylod,David Benioff & D. B. Weiss,"June 12, 2016 (2016-06-12)",7.60
59,9,6,Battle of the Bastards,Miguel Sapochnik,David Benioff & D. B. Weiss,"June 19, 2016 (2016-06-19)",7.66
60,10,6,The Winds of Winter,Miguel Sapochnik,David Benioff & D. B. Weiss,"June 26, 2016 (2016-06-26)",8.89
61,1,7,Dragonstone,Jeremy Podeswa,David Benioff & D. B. Weiss,"July 16, 2017 (2017-07-16)",10.11
62,2,7,Stormborn,Mark Mylod,Bryan Cogman,"July 23, 2017 (2017-07-23)",9.27
63,3,7,The Queen's Justice,Mark Mylod,David Benioff & D. B. Weiss,"July 30, 2017 (2017-07-30)",9.25
64,4,7,The Spoils of War,Matt Shakman,David Benioff & D. B. Weiss,"August 6, 2017 (2017-08-06)",10.17
65,5,7,Eastwatch,Matt Shakman,Dave Hill,"August 13, 2017 (2017-08-13)",10.72
66,6,7,Beyond the Wall,Alan Taylor,David Benioff & D. B. Weiss,"August 20, 2017 (2017-08-20)",10.24
67,7,7,The Dragon and the Wolf,Jeremy Podeswa,David Benioff & D. B. Weiss,"August 27, 2017 (2017-08-27)",12.07
68,1,8,Winterfell,David Nutter,Dave Hill,"April 14, 2019 (2019-04-14)",11.76
69,2,8,A Knight of the Seven Kingdoms,David Nutter,Bryan Cogman,"April 21, 2019 (2019-04-21)",10.29
70,3,8,The Long Night,Miguel Sapochnik,David Benioff & D. B. Weiss,"April 28, 2019 (2019-04-28)",12.02
71,4,8,The Last of the Starks,David Nutter,David Benioff & D. B. Weiss,"May 5, 2019 (2019-05-05)",11.80
72,5,8,The Bells,Miguel Sapochnik,David Benioff & D. B. Weiss,"May 12, 2019 (2019-05-12)",12.48
73,6,8,The Iron Throne,David Benioff & D. B. Weiss,David Benioff & D. B. Weiss,"May 19, 2019 (2019-05-19)",13.61
74,1,Special,Game of Thrones: A Day in the Life,,,"February 8, 2015 (2015-02-08)",
75,2,Special,Game of Thrones: The Last Watch,,,"May 26, 2019 (2019-05-26)",1.63
